Name,Version
libeot0:amd64,0.01
libepoxy0:amd64,1.3.1
liberror-perl,0.17
libespeak1:amd64,1.48.04
libestr0,0.1.10
libetonyek-0.1-1:amd64,0.1.6
libevdev2:amd64,1.4.6
libevdocument3-4:amd64,3.18.2
libevemu3:amd64,2.1.0
libevent-2.0-5:amd64,2.0.21
libevview3-3:amd64,3.18.2
libexempi3:amd64,2.2.2
libexif12:amd64,0.6.21
libexiv2-14:amd64,0.25
libexpat1:amd64,2.1.0
libexpat1-dev:amd64,2.1.0
libexporter-tiny-perl,0.042
libextlib-ocaml,1.7.0
libextlib-ocaml-dev,1.7.0
libexttextcat-2.0-0:amd64,3.4.4
libexttextcat-data,3.4.4
libfaad2:amd64,2.8.0
libfakeroot:amd64,1.20.2
libfcgi-perl,0.77
libfcitx-config4:amd64,4.2.9.1
libfcitx-gclient0:amd64,4.2.9.1
libfcitx-utils0:amd64,4.2.9.1
libfdisk1:amd64,2.27.1
libfdt1:amd64,1.4.0
libffi-dev:amd64,3.2.1
libffi6:amd64,3.2.1
libfftw3-double3:amd64,3.3.4
libfftw3-single3:amd64,3.3.4
libfile-basedir-perl,0.07
libfile-copy-recursive-perl,0.38
libfile-desktopentry-perl,0.22
libfile-fcntllock-perl,0.22
libfile-listing-perl,6.04
libfile-mimeinfo-perl,0.27
libfile-stripnondeterminism-perl,0.015
libfindlib-ocaml,1.5.5
libfindlib-ocaml-dev,1.5.5
